1;produtos ao consumidor (ou bens de consumo)                   ; usados por usuários finais
2;produtos industriais                                       ; usados na produção de outros bens
3;bens de conveniência                                       ; adquiridos frequentemente e com um esforço mínimo
4;bens de impulso                                            ; compra por estímulo sensorial imediato
5;bens de emergência                                         ; bens necessários imediatamente
6;bens de compra comparada                                   ;produtos que exigem um alto esforço do consumidor para comparar os requisitos e fazer uma escolha que atenda às suas necessidades.
7;bens de especialidade                                      ; comparação extensiva com outros bens e uma longa busca por informações
8;bens perecíveis                                             ; bens que se deteriorarão rapidamente mesmo sem uso
9;bens duráveis                                              ; bens que sobrevivem a ocasiões de múltiplo uso
10;bens não duráveis;Consumo Rápido
11;bens de capital                                            ; instalações, equipamentos e construções
12;partes e materiais                                         ; bens que são agregados a um produto final
13;abastecimento e serviços                                   ; bens que facilitam a produção
14;commodities                                                ; bens indiferenciáveis (ex. trigo, ouro, açúcar, etc)
15;produtos intermediários                                    ; resulta da fabricação de outro produto
;;
;;
;;
;;
